Item,PK,Category,Name,Description,Image
112,134,CNC Controller 4Axis DDCSV4.1 off-line controller,CNC Controller 4Axis DDCSV4.1 off-line controller,/media/part_images/Sd7e17a8e48d647dba93f1e2442f2d690m.jpg
113,293,COB LED Work Light,3pcs Powerful COB LED Work Light Garage Mechanic Lamp USB Rechargeable Flashlight MagneticTorch Emergency Light Warning Light,/media/part_images/Screenshot_2024-01-13_095258.png
114,85,Constructor cp 1400 180cb,Levigatrice Lucidatrice rotativa,/media/part_images/get06.jpg
115,235,Coral USB Accelerator,A USB accessory that brings accelerated ML inferencing to existing systems. Works with Linux, Mac, and Windows systems.,/media/part_images/Web_capture_2-9-2023_75843_coral.ai.jpeg
116,409,Corsair Vengeance (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM),Corsair Vengeance (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM),/media/part_images/Screenshot_21-8-2024_9048_www.galaxus.ch.jpeg
117,45,Corsair Vengeance RGB Pro SL (2 x 16GB, 3600 MHz, DDR4-RAM, DIMM),RAM,/media/part_images/31get.png
118,315,Cortinet NAS DIY,DIY NAS for cortinet network,/media/part_images/Screenshot_2024-03-27_092637.png
119,367,Cover Cap deLuxe protective cover, short,Cover Cap deLuxe protective cover, short,/media/part_images/Screenshot_2024-06-09_120600.png
120,41,Cricut Maker 3,Plotter taglierina per vinile,/media/part_images/49get.png
121,42,Cricut mug press starter kit,Pressa Termica,/media/part_images/51get.png
122,53,Cricut Transfer press EasyPress 3,Cricut Transfer press EasyPress 3 30.5 x 25.4 cm,/media/part_images/image_5996588638848526417.png
123,206,Crucial Laptop Memory (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM),RAM x,/media/part_images/Web_capture_14-7-2023_18024_www.galaxus.ch.jpeg
124,322,Crucial Laptop Memory (2 x 32GB, 3200 MHz, DDR4-RAM, SO-DIMM),RAM,/media/part_images/Screenshot_2024-04-09_213207.png
125,381,Cuffia semiasse esterna,Cuffia semiasse Fresia esterna lato ruota,/media/part_images/Screenshot_2024-07-04_072726.png
126,380,Cuffia semiasse interna,Cuffia semiasse Fresia interna lato ruota,/media/part_images/Screenshot_2024-07-04_065213.png
